age,capital-gain,capital-loss,hours-per-week,workclass_n,education_n,marital-status_n,occupation_n,relationship_n,race_n,gender_n,native-country_n,income_n
57,0,0,40,0,9,2,10,0,2,1,38,1
53,0,0,38,3,11,2,7,0,4,1,38,0
44,0,0,40,3,12,0,4,4,4,0,38,0
41,0,0,40,6,8,2,3,0,4,1,38,0
29,0,0,43,3,8,4,10,1,4,1,38,0
25,0,0,40,3,15,2,4,5,3,0,38,0
18,0,0,30,3,11,4,8,3,4,0,38,0
47,0,1902,60,3,14,2,10,5,4,0,15,1
50,0,0,55,0,9,0,4,1,4,1,38,1
47,0,0,60,4,11,0,4,1,4,1,38,0
43,0,0,40,3,15,2,13,0,4,1,38,1
46,0,0,40,3,4,2,7,0,4,1,25,0
35,0,0,40,3,8,2,8,0,4,1,32,0
41,0,0,48,3,11,2,1,0,4,1,38,0
30,5013,0,40,3,11,2,7,0,4,1,38,0
30,2407,0,40,3,9,2,12,0,4,1,38,0
32,0,0,40,7,5,3,0,1,4,1,38,0
48,0,0,40,3,11,2,14,0,4,1,38,0
42,0,0,45,3,10,2,10,0,4,1,38,1
29,0,0,58,3,15,0,13,1,4,1,38,0
36,0,0,40,3,11,2,3,0,4,1,38,0
28,0,0,40,3,15,0,1,1,4,0,38,0
53,0,0,40,3,11,2,1,5,4,0,38,1
49,0,0,50,4,15,2,4,0,4,1,38,1
25,0,0,40,7,15,4,0,3,4,1,38,0
19,0,0,32,3,15,4,10,3,4,1,38,0
31,0,0,40,3,9,5,12,3,2,0,38,0
29,0,0,70,5,9,2,12,0,4,1,38,1
23,0,0,40,3,15,4,7,1,4,1,38,0
79,0,0,20,3,15,2,10,2,4,1,38,0
27,0,0,40,3,11,4,8,3,4,1,25,0
40,0,0,40,3,7,2,1,0,4,1,38,0
67,0,0,2,7,0,2,0,0,4,1,38,0
18,0,0,22,3,1,4,8,3,4,0,38,0
31,0,0,40,1,5,2,5,0,4,1,38,0
18,0,0,30,3,11,4,12,1,4,1,38,0
52,0,0,40,3,9,2,8,0,4,1,4,0
46,0,0,40,3,11,2,8,5,4,0,38,0
59,0,0,48,3,11,2,12,0,4,1,38,0
44,14344,0,40,3,11,0,3,1,4,0,38,1
53,0,0,35,3,11,0,12,3,4,0,38,0
49,0,0,40,1,11,2,11,0,4,1,38,1
33,0,0,50,3,12,2,10,0,4,1,38,0
30,0,0,40,3,6,4,12,1,4,1,38,0
43,0,0,50,0,10,4,10,1,4,0,38,1
57,0,0,40,3,8,2,10,0,4,1,38,0
37,0,0,40,3,15,0,3,4,4,0,38,0
28,0,0,25,3,15,0,7,4,2,0,38,0
30,0,1573,35,3,11,2,12,5,1,0,38,0
34,0,0,40,1,9,2,11,0,4,1,38,1
29,0,0,50,1,15,4,6,1,4,1,38,0
48,0,1902,60,5,10,2,10,0,4,1,38,1
37,0,0,48,3,15,2,12,0,4,1,38,1
48,0,0,40,3,7,0,4,4,4,0,8,0
32,0,0,40,0,11,4,8,3,2,1,38,0
76,0,0,40,3,12,2,4,0,4,1,38,1
44,15024,0,60,3,9,2,4,0,4,1,38,1
47,0,0,50,5,12,4,10,1,4,0,38,0
20,0,0,40,3,15,4,13,3,4,0,38,0
29,0,0,40,3,11,4,3,1,4,1,38,0
32,7688,0,40,4,11,2,3,0,4,1,38,1
17,34095,0,32,7,0,4,0,3,4,0,38,0
30,0,0,40,3,1,4,6,3,4,1,38,0
31,0,0,40,1,11,4,1,1,4,0,38,0
42,0,0,40,3,11,2,6,0,4,1,38,0
24,0,0,40,3,9,4,12,2,4,1,38,0
38,0,0,40,3,14,2,10,0,4,1,38,1
56,0,1887,50,5,11,2,8,0,4,1,1,1
28,4064,0,25,3,15,2,12,5,4,0,38,0
36,0,0,40,3,11,4,7,3,4,0,38,0
53,0,0,50,3,6,2,6,0,4,1,38,0
56,0,0,50,4,15,2,12,0,4,1,38,0
49,0,0,40,1,8,2,3,0,2,1,38,1
55,0,0,56,3,15,2,12,0,4,1,38,0
22,0,0,41,3,11,4,3,1,4,1,38,0
21,0,0,40,3,15,4,8,3,4,0,38,0
40,0,0,60,3,9,2,4,0,4,1,38,0
30,0,0,40,3,9,4,4,3,2,1,10,0
29,0,0,50,6,9,2,10,0,4,1,38,1
19,0,0,35,3,15,4,8,3,2,1,38,0
47,0,0,40,3,9,2,4,5,4,0,38,1
20,0,1719,28,3,15,4,1,3,4,0,38,0
31,0,0,40,3,7,2,1,0,4,1,38,1
35,0,0,40,7,11,2,0,0,4,1,38,0
39,0,0,40,3,15,0,3,1,4,1,38,0
28,0,0,60,3,7,4,12,1,4,0,38,0
24,0,1762,40,3,11,4,8,1,4,0,38,0
38,4386,0,35,5,11,2,3,0,4,1,38,0
37,0,0,50,3,9,2,12,0,4,1,38,0
46,0,0,36,3,7,0,13,1,2,0,38,0
38,0,0,40,0,12,2,10,0,4,1,19,1
43,0,0,60,5,11,2,3,0,4,1,38,0
27,0,0,35,3,8,2,1,5,4,0,38,0
20,0,0,20,3,15,4,12,3,4,1,38,0
49,0,0,40,3,15,2,3,0,1,1,38,1
61,0,0,40,4,11,2,3,0,4,1,38,0
27,0,0,40,3,15,4,12,3,4,0,38,0
19,0,0,30,3,15,4,8,3,4,1,25,0
45,0,1564,40,3,8,4,10,1,4,0,38,1
70,0,0,40,3,15,4,13,2,4,1,38,0
31,0,0,30,3,11,4,14,4,2,0,38,0
22,0,0,24,3,15,2,8,0,4,1,38,0
36,0,0,24,3,11,6,8,4,4,0,38,0
64,0,2179,40,3,1,2,3,0,4,1,38,0
43,0,0,40,7,15,0,0,1,4,0,38,0
47,0,0,38,1,15,0,1,4,4,0,25,0
34,0,0,40,3,11,4,1,1,4,0,38,0
33,0,0,40,3,9,4,4,2,1,0,29,0
21,0,0,35,3,11,4,3,3,4,1,38,0
52,0,0,45,7,11,0,0,1,4,1,38,1
48,0,0,46,3,11,2,3,0,4,1,38,0
23,0,0,40,3,9,4,6,1,4,1,38,0
71,0,1816,2,5,15,5,12,4,2,1,38,0
29,0,0,60,3,11,0,3,1,4,1,38,0
42,0,0,50,3,9,5,8,2,2,1,38,0
68,0,0,20,7,3,0,0,1,4,0,38,0
25,0,0,40,3,11,4,8,4,4,0,38,0
44,0,0,40,4,12,0,4,4,1,0,38,0
28,0,0,40,3,11,4,4,1,1,0,8,0
45,0,0,40,5,12,2,12,0,4,1,38,1
36,0,0,40,3,15,0,8,4,4,0,25,0
39,0,0,42,0,7,4,4,1,4,1,38,0
46,0,0,40,6,12,6,11,4,4,1,38,0
18,0,0,16,3,1,4,6,3,4,1,38,0
66,0,0,20,1,8,6,10,1,4,0,38,0
27,0,1980,40,3,11,4,8,1,4,1,38,0
28,0,0,40,6,11,2,11,0,4,1,38,0
51,0,1977,40,3,15,2,12,0,4,1,38,1
27,0,0,50,3,9,4,3,1,4,1,38,0
28,0,0,40,6,9,2,10,0,4,1,38,1
27,0,0,25,3,11,3,12,4,4,0,38,0
21,0,0,40,3,11,4,3,3,2,1,38,0
34,0,0,40,3,11,4,6,1,2,1,38,0
18,0,0,12,3,11,4,8,3,4,1,38,0
33,0,0,65,3,9,2,10,0,4,1,38,0
44,0,0,38,1,15,2,4,0,2,1,38,1
43,0,0,40,3,15,0,1,1,4,0,38,0
30,0,0,45,3,15,4,3,1,2,1,38,0
40,0,0,40,3,5,2,7,0,4,1,25,1
37,0,0,42,0,15,2,1,0,4,1,38,1
34,0,0,40,3,11,2,1,0,2,1,38,0
41,0,0,40,5,9,0,4,1,4,0,38,0
53,0,0,50,7,9,0,0,1,4,0,38,0
31,0,0,50,3,12,2,10,5,4,0,38,0
58,0,0,1,6,10,2,10,0,4,1,38,1
38,0,0,28,3,15,0,7,1,2,0,38,0
24,0,0,40,3,15,2,7,0,4,1,38,0
41,0,0,40,1,9,2,3,0,2,1,38,0
47,0,0,45,3,15,2,13,0,4,1,38,0
41,0,0,24,0,9,2,13,0,4,1,38,0
23,0,0,40,3,4,2,14,2,4,1,25,0
36,0,0,40,3,15,0,3,1,4,1,38,0
40,14084,0,55,0,12,4,4,1,4,0,38,1
35,7298,0,40,3,12,2,10,2,4,1,38,1
24,0,0,40,5,11,4,12,1,4,1,38,0
26,0,1876,40,3,12,4,10,1,4,0,38,0
19,0,0,40,7,11,4,0,3,4,1,21,0
51,0,0,50,3,9,2,4,0,4,1,38,1
42,0,1340,40,1,15,4,10,1,4,0,38,0
37,0,0,35,6,11,0,1,4,4,0,38,0
18,0,0,40,3,1,4,12,3,4,0,38,0
36,7298,0,36,3,9,2,8,0,2,1,38,1
35,0,0,60,3,11,0,3,1,4,1,38,0
58,15024,0,35,4,11,2,12,5,4,0,38,1
17,0,0,12,3,1,4,12,3,4,0,38,0
44,0,0,40,1,11,2,14,0,2,1,38,0
37,0,0,40,3,11,2,3,0,4,1,38,1
35,0,0,40,3,15,4,12,1,0,0,38,0
60,0,0,40,3,11,2,3,0,1,1,38,0
54,0,0,40,4,5,2,7,0,4,1,38,1
37,0,0,60,3,9,4,4,1,2,1,38,1
50,0,0,40,3,7,0,12,1,4,0,38,0
38,0,0,50,3,9,2,12,0,4,1,30,0
45,0,0,55,3,9,2,10,0,4,1,38,0
25,0,0,40,3,0,4,3,1,4,1,38,0
31,0,0,40,3,15,2,6,0,4,1,38,0
64,0,0,40,7,3,0,0,1,4,1,38,0
90,0,2206,40,3,11,4,8,1,2,1,38,0
54,0,0,20,3,11,2,1,0,2,1,38,0
53,0,0,35,1,13,4,7,1,4,0,38,0
18,0,0,40,3,11,4,12,3,4,0,38,0
60,0,0,10,7,0,0,0,1,0,0,38,0
66,1409,0,50,5,11,2,5,0,4,1,38,0
75,0,0,20,3,8,6,1,1,4,0,3,0
65,0,0,40,3,11,0,1,1,4,0,38,0
35,3674,0,40,3,1,5,14,1,2,1,38,0
41,0,0,38,3,11,0,12,4,2,0,38,0
25,0,0,42,3,15,4,1,1,4,1,38,0
33,0,0,40,3,15,0,3,2,3,0,38,0
28,0,0,55,3,14,4,10,1,4,1,38,1
59,0,0,40,6,11,2,8,0,4,1,38,0
40,0,0,38,6,15,4,1,1,4,0,38,0
41,0,0,50,3,9,2,4,0,4,1,19,1
38,0,0,70,1,12,2,4,0,4,1,38,1
23,0,0,40,3,11,4,14,3,4,1,38,0
40,0,0,40,3,9,2,10,0,4,1,38,1
41,0,0,20,5,11,2,8,5,4,0,38,0
24,0,0,50,6,7,2,11,0,4,1,38,0
20,0,0,20,7,15,4,0,3,4,1,38,0
38,0,1741,40,3,15,0,3,1,4,1,38,0
56,0,0,35,3,11,2,1,0,4,1,38,0
58,0,0,45,3,11,2,1,0,4,1,38,1
32,0,0,34,3,11,4,8,1,4,0,38,0
40,0,1977,60,3,7,2,13,0,4,1,38,1
45,0,0,40,3,11,2,1,0,4,1,38,0
41,0,0,40,3,14,2,10,5,4,0,38,1
42,0,0,40,3,9,2,1,5,2,0,38,0
59,0,0,30,1,0,6,8,4,2,0,38,0
19,0,0,40,1,15,4,1,3,4,1,38,0
58,0,0,20,3,15,4,14,1,4,1,38,0
42,0,0,40,5,11,2,5,0,1,1,0,1
20,0,0,40,3,11,4,8,3,4,0,38,0
32,0,0,30,3,11,5,8,1,4,0,38,0
45,0,0,45,3,8,6,4,1,4,0,38,0
50,0,0,40,3,5,0,3,1,4,1,38,0
36,0,0,40,3,9,0,10,3,4,0,38,0
45,0,0,60,3,11,2,12,0,4,1,38,0
17,0,0,12,3,1,4,8,3,4,1,38,0
59,4064,0,40,3,15,2,12,0,4,1,38,0
26,0,0,40,3,1,2,3,0,4,1,38,0
37,0,0,75,4,15,2,4,0,1,1,36,1
19,0,0,24,7,15,4,0,3,4,1,1,0
64,0,0,40,3,11,2,4,0,4,1,38,1
33,0,0,45,3,9,4,10,1,4,0,38,0
33,0,0,40,3,11,2,3,5,4,0,38,1
61,0,0,40,3,11,2,4,0,4,1,38,1
17,1055,0,24,3,6,4,8,3,4,1,38,0
50,2407,0,98,5,12,2,5,0,4,1,38,0
27,0,0,35,1,12,4,10,3,4,1,38,0
30,0,0,40,3,11,0,10,3,4,0,38,0
43,0,0,40,3,11,2,6,0,2,1,38,0
44,7298,0,40,3,15,2,3,0,4,1,38,1
35,0,0,40,3,15,4,4,1,4,0,38,0
25,0,0,40,3,15,4,13,3,4,0,38,0
24,7298,0,48,3,15,2,7,5,4,0,38,1
22,0,0,15,3,9,4,10,1,4,0,10,0
42,5178,0,40,1,15,2,3,0,4,1,38,1
34,0,0,45,3,7,0,12,4,2,0,38,0
60,0,0,42,3,9,0,10,1,4,0,38,0
21,0,0,40,3,11,4,6,3,4,1,38,0
57,15024,0,40,0,12,2,12,0,4,1,38,1
41,0,0,60,3,14,2,10,0,4,1,38,1
50,0,0,45,3,15,0,8,1,4,1,38,0
25,0,0,40,3,9,4,4,1,4,0,38,0
50,0,0,40,3,5,2,3,0,4,1,6,0
36,0,0,45,3,9,2,10,0,4,1,38,0
31,0,0,40,3,11,0,10,1,4,0,38,0
29,0,0,56,1,9,4,11,1,4,1,38,0
21,0,0,45,3,15,4,12,3,4,1,38,0
27,0,0,40,3,9,4,13,4,2,0,38,0
65,0,0,16,3,11,2,14,0,4,1,38,0
37,0,0,60,4,9,0,12,1,4,0,38,0
39,3464,0,40,7,12,2,0,5,1,0,38,0
24,0,0,40,3,11,4,3,3,4,1,38,0
38,0,0,80,3,11,0,12,1,4,1,38,0
48,7688,0,40,3,9,2,1,0,4,1,38,1
21,0,0,25,3,15,4,8,1,1,0,38,0
31,0,0,45,3,11,2,14,0,4,1,38,1
55,4386,0,40,3,11,2,12,0,4,1,38,1
24,0,0,40,3,15,2,1,5,1,0,24,0
43,0,0,40,3,11,0,1,1,4,0,38,0
26,0,0,45,3,7,4,13,1,4,1,38,0
46,0,0,33,3,7,4,10,1,4,0,38,0
35,0,0,40,3,7,2,1,0,4,1,38,1
41,0,0,54,4,15,2,5,0,4,1,38,1
26,0,0,40,3,9,4,12,1,4,1,38,0
34,7298,0,35,3,12,2,4,0,1,1,35,1
19,0,0,25,7,15,4,0,3,2,0,38,0
36,0,0,40,5,9,0,10,1,2,0,38,1
22,0,0,15,3,15,4,12,3,4,1,38,0
24,0,0,40,3,15,4,7,1,4,1,38,0
77,0,0,40,5,15,2,12,0,4,1,38,0
22,0,0,40,3,4,2,7,2,4,0,25,0
29,0,0,40,3,15,4,13,1,4,0,38,0
62,0,0,24,3,11,6,8,1,4,0,38,0
39,0,0,40,5,11,2,4,0,4,1,38,0
43,0,1485,50,3,15,2,3,0,4,1,38,0
35,0,0,45,3,11,0,14,1,4,1,38,0
29,0,0,40,3,1,4,4,1,4,0,38,0
76,0,0,10,5,12,2,3,0,4,1,38,0
63,0,0,45,5,11,2,5,0,4,1,38,0
23,0,0,15,7,8,4,0,3,2,0,38,0
43,0,1887,50,3,15,2,10,5,4,0,38,1
58,0,0,40,5,11,2,6,0,4,1,38,0
66,2050,0,55,3,11,4,14,1,4,1,38,0
41,0,0,45,3,15,4,3,1,2,1,38,0
26,0,0,40,3,9,4,1,1,4,1,38,0
47,0,0,40,3,8,4,8,1,4,1,38,0
55,0,0,40,1,0,2,1,0,4,1,38,0
53,0,0,40,3,11,2,14,0,4,1,38,0
17,0,0,48,3,4,4,8,2,4,1,25,0
30,0,0,40,3,11,4,3,2,4,1,38,0
49,0,0,60,3,12,4,10,1,4,1,38,0
19,0,0,30,3,11,4,12,4,2,1,13,0
45,0,0,40,3,11,2,8,0,2,1,38,0
26,0,0,40,3,7,4,12,1,4,1,38,0
38,7298,0,40,3,8,2,3,0,4,1,38,1
36,7298,0,40,6,11,2,11,0,4,1,38,1
33,0,0,20,3,11,4,5,1,4,1,38,0
22,0,0,40,6,15,4,11,3,2,0,38,0
43,0,0,42,5,9,4,12,1,4,1,38,0
67,0,0,8,7,1,2,0,0,4,1,38,0
30,0,0,40,7,8,0,0,4,4,0,38,0
56,0,0,25,3,7,3,8,1,4,1,19,0
31,0,0,25,3,9,4,10,3,4,1,38,0
33,0,0,40,3,9,2,4,0,4,1,38,1
26,0,0,40,3,11,2,8,0,4,1,38,0
33,0,0,40,3,9,2,4,0,4,1,38,1
46,0,0,30,1,1,2,14,0,4,1,38,0
59,0,0,40,7,9,2,0,0,4,1,38,1
38,0,0,40,0,11,2,1,0,4,1,38,1
65,0,0,40,3,1,6,8,4,3,1,38,0
40,0,0,40,3,8,2,13,0,4,1,38,1
42,0,0,35,3,11,2,1,5,4,0,38,0
26,0,0,40,5,6,2,3,0,4,1,31,0
36,0,0,24,3,0,2,8,5,4,0,38,0
62,0,0,40,3,12,2,10,0,4,1,38,1
43,0,0,45,3,9,2,14,0,4,1,38,0
43,0,1564,45,3,9,0,4,1,4,1,38,1
22,0,0,55,3,11,3,12,1,4,1,38,0
28,0,0,40,3,11,2,3,0,4,1,38,0
56,0,0,45,5,15,2,12,0,4,1,38,0
22,0,0,15,3,7,4,12,1,4,0,38,0
57,0,0,45,3,9,0,4,1,4,0,38,1
39,0,0,40,3,11,0,12,4,4,0,38,0
26,0,0,15,0,15,4,1,4,4,0,38,0
17,0,0,10,3,1,4,8,3,4,1,38,0
40,0,0,38,6,8,2,7,0,4,1,38,1
45,0,0,40,3,11,2,7,0,2,1,38,0
44,0,0,40,3,11,4,3,1,2,1,38,0
20,0,0,10,1,15,4,1,3,4,0,38,0
33,0,0,40,3,11,2,3,5,4,0,38,0
23,0,0,40,3,15,4,12,1,4,1,38,0
46,0,0,30,5,12,0,4,1,4,1,38,0
38,0,0,50,3,11,2,12,0,4,1,38,0
54,0,0,40,3,11,0,14,1,4,1,38,0
46,0,2339,45,3,4,0,3,1,4,0,38,0
25,0,0,40,3,15,2,3,0,4,1,38,0
46,0,0,40,3,15,0,12,1,4,0,38,0
36,0,0,40,1,15,2,14,5,4,0,38,0
23,0,0,25,3,11,4,8,1,4,0,38,0
29,0,0,40,3,11,5,7,1,4,1,38,0
44,0,2415,6,3,15,2,1,5,4,0,38,1
19,0,0,16,3,15,4,1,3,4,0,38,0
19,0,0,40,3,11,4,8,2,4,0,38,0
35,0,0,40,3,11,2,8,5,4,0,38,1
27,0,0,50,3,9,4,3,1,4,1,38,0
46,0,0,40,5,7,5,3,1,4,1,38,0
34,7688,0,45,6,9,2,4,0,4,1,38,1
34,0,0,35,3,11,4,8,1,4,0,38,0
44,0,0,40,3,15,2,13,0,4,1,38,0
45,0,0,40,3,15,0,6,4,4,0,38,0
20,0,0,35,7,11,4,0,2,4,0,38,0
25,0,0,55,3,9,2,4,0,4,1,38,1
52,0,0,50,4,9,2,4,0,4,1,38,1
20,0,0,40,3,15,4,6,3,4,1,38,0
28,0,0,40,3,15,4,8,1,4,0,38,0
50,0,0,40,6,9,2,11,0,4,1,38,1
34,0,0,64,3,8,0,13,1,4,0,38,0
28,0,2179,40,3,5,2,6,0,3,1,32,0
41,0,1977,65,3,12,2,4,0,4,1,38,1
28,0,0,40,3,11,2,1,0,4,1,38,0
46,0,0,25,5,11,2,3,0,4,1,38,0
28,0,1887,40,7,15,2,0,5,4,0,38,1
32,0,0,50,3,15,2,4,0,4,1,38,0
41,0,0,24,1,15,0,8,1,2,0,38,0
24,0,0,40,3,11,4,6,4,2,0,38,0
33,0,0,40,3,15,0,4,4,4,0,38,0
46,15024,0,60,3,10,2,4,0,4,1,38,1
31,0,0,40,6,15,2,7,0,4,1,38,0
35,0,0,50,3,2,0,3,1,4,1,38,1
52,0,0,40,3,3,2,7,0,4,1,25,0
30,0,0,19,3,1,4,8,3,4,0,38,0
34,0,0,40,1,1,5,7,1,2,1,38,0
34,0,0,40,6,11,0,14,4,4,0,38,0
20,0,0,30,3,15,2,12,0,4,1,38,0
17,2176,0,18,3,1,4,6,3,4,1,38,0
32,0,0,40,6,9,2,4,5,4,0,38,1
29,0,0,40,3,11,0,5,1,4,1,38,0
33,0,0,35,3,0,4,3,4,4,0,38,0
25,0,0,60,3,11,2,14,0,4,1,38,0
36,0,1408,40,0,12,4,10,1,4,1,38,0
23,0,0,72,3,11,4,6,1,4,1,5,0
63,0,0,40,4,11,2,4,0,4,1,38,1
47,0,0,40,1,12,2,10,0,4,1,38,0
80,0,0,24,7,11,6,0,1,4,1,38,0
17,0,0,40,7,1,4,0,3,4,1,38,0
40,2174,0,40,5,9,3,10,1,4,0,38,0
30,0,0,25,3,7,2,8,5,4,0,38,1
27,0,1980,40,3,15,4,3,3,1,1,29,0
33,0,0,50,3,12,2,10,0,4,1,38,1
34,594,0,60,1,11,4,5,1,2,1,38,0
34,0,0,40,1,15,4,11,1,4,0,38,0
23,0,0,40,3,15,2,1,0,4,1,38,0
42,0,0,40,1,15,2,1,5,4,0,38,0
29,0,0,40,3,9,4,10,1,4,1,38,0
45,0,0,28,3,11,0,1,1,4,0,38,0
24,0,0,40,0,11,4,2,3,4,1,38,0
44,0,0,40,3,15,2,10,0,4,1,38,1
27,0,0,40,3,6,4,3,2,4,1,25,0
20,0,0,35,3,15,4,12,1,4,1,38,0
44,0,0,40,3,11,6,4,4,2,0,38,0
51,0,0,40,3,11,2,3,0,0,1,38,0
20,0,0,40,3,11,2,7,0,4,1,38,0
17,0,0,5,7,1,4,0,3,4,0,38,0
19,0,0,40,3,11,4,7,3,2,0,38,0
45,0,0,55,4,15,2,3,0,4,1,38,1
60,0,0,40,3,11,2,3,0,4,1,38,1
42,0,0,40,3,7,2,4,0,2,1,38,1
44,0,0,40,5,11,2,12,5,4,0,38,1
40,0,0,40,3,8,2,7,0,1,1,38,1
30,0,0,40,3,11,2,4,5,4,0,38,0
38,0,0,50,3,15,2,14,0,2,1,38,0
23,0,0,60,3,11,2,14,0,4,1,38,0
32,0,0,40,7,15,2,0,0,4,1,38,0
44,0,0,40,3,7,4,5,3,4,1,38,0
54,0,0,40,1,11,2,14,0,2,1,38,0
32,0,0,50,3,9,2,10,0,4,1,38,0
50,0,0,40,3,3,3,3,4,4,1,38,0
24,0,0,20,3,9,4,13,1,4,0,38,0
37,0,0,60,3,11,2,1,5,4,0,38,0
52,0,0,40,3,11,0,14,4,4,1,38,0
38,0,0,40,3,15,2,14,0,4,1,38,0
49,0,1977,45,3,12,2,4,0,4,1,38,1
30,0,0,16,3,9,2,13,5,4,0,38,1
60,0,0,40,3,15,4,10,4,4,1,38,1
22,0,0,40,7,15,4,0,3,4,1,38,0
35,0,0,40,3,11,4,3,1,4,1,38,0
30,0,0,60,3,11,4,14,1,4,1,38,0
67,0,0,24,3,8,0,8,1,4,0,38,0
46,0,0,40,3,9,4,3,1,4,0,38,0
17,0,0,6,3,6,4,8,1,4,1,38,0
22,0,0,30,3,15,4,6,3,4,1,38,0
27,0,0,40,3,0,4,8,1,4,1,38,0
23,0,0,35,3,11,4,8,4,4,0,38,0
33,0,0,45,3,7,2,3,0,4,1,31,0
43,0,0,20,5,15,2,3,0,4,1,38,0
28,0,0,20,6,9,4,10,1,4,1,38,0
41,0,0,40,3,11,3,3,4,4,0,38,0
52,594,0,40,7,2,4,0,2,2,1,38,0
25,0,0,20,3,15,3,1,3,2,0,38,0
63,0,0,35,7,3,2,0,0,4,1,38,0
59,0,0,45,1,11,2,14,0,4,1,38,0
45,0,0,40,1,9,0,10,4,4,0,38,0
38,15024,0,60,3,9,2,12,0,4,1,38,1
40,0,0,35,3,11,4,8,1,4,0,38,0
46,0,0,40,0,11,0,1,1,4,1,38,0
35,0,0,60,3,7,4,4,1,4,0,38,0
34,0,0,25,3,11,0,10,4,4,0,38,0
33,0,0,20,3,9,4,3,3,4,1,38,0
41,0,0,36,3,11,0,1,4,4,0,38,0
20,0,0,40,3,15,4,7,3,4,1,38,0
23,0,0,40,3,4,4,8,3,4,1,7,0
26,0,0,35,3,15,4,10,1,4,0,38,0
72,0,0,20,7,11,2,0,0,4,1,38,0
23,0,0,40,1,11,4,5,1,4,1,30,0
62,0,0,40,1,11,2,14,0,4,1,38,0
52,0,0,40,3,15,2,1,0,4,1,38,0
58,0,0,42,3,15,0,8,4,4,0,9,0
25,0,0,40,3,9,4,12,1,4,0,38,0
24,0,0,40,3,9,4,4,1,2,1,38,0
19,0,0,8,3,15,4,11,3,4,1,38,0
43,0,0,40,3,15,2,4,0,4,1,38,0
47,0,0,40,1,11,5,1,4,2,0,38,0
39,0,0,40,3,11,0,8,4,4,0,38,0
49,0,1380,42,3,8,3,6,4,4,1,38,0
53,0,0,30,7,4,6,0,4,2,0,38,0
32,0,0,45,3,8,4,3,1,4,1,38,0
34,0,0,50,3,15,2,10,0,4,1,38,1
28,0,0,45,3,11,0,3,1,4,1,38,0
57,0,0,38,7,8,6,0,4,4,0,38,0
25,0,0,20,3,15,4,1,1,0,0,38,0
20,0,0,24,7,15,4,0,3,4,1,38,0
21,0,0,35,7,15,4,0,4,4,0,38,0
34,0,0,50,3,9,2,10,0,4,1,38,1
38,15024,0,80,4,9,2,4,0,4,1,38,1
50,7688,0,50,3,11,2,4,0,4,1,38,1
24,0,0,50,1,15,0,6,1,2,1,38,0
37,0,0,45,1,15,2,13,0,4,1,38,1
44,0,0,58,3,15,0,7,4,4,1,38,1
28,0,0,40,3,15,2,12,5,4,0,38,0
42,0,0,40,3,9,2,4,0,4,1,38,1
74,0,0,9,3,15,0,1,1,4,0,38,0
38,0,0,50,5,11,2,3,0,4,1,38,0
44,0,0,40,5,12,2,10,0,4,1,38,0
